"phrase","id","phoneme","stress","type","inherent_ms","before_floor_ms","after_floor_ms","before_ms","after_ms","delta_ms","source","rules"
"The quick brown fox jumps over the lazy dog.","segment_6:remap_stops_to_closures:0:insert_mapped_voiced_release:1","R","","liquid","90","54","33.75","70","60","-10","{""source"":""RR"",""minimum_ms"":30,""inherent_ms"":80,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","insert_mapped_voiced_release; non_word_initial_consonant_shortening; word_medial_consonant_shortening; cluster_shortening; duration_cap; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_8:expand_diphthongs:0","AE1","1","vowel","170","71.39999999999999","39.65217391304348","121","126","5","{""source"":""AE"",""minimum_ms"":80,""inherent_ms"":230,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","expand_diphthongs; expand_diphthongs; stress_duration; accent_vowel_lengthening; polysyllabic_shortening; vowel_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_8:expand_diphthongs:1","W","0","glide","80","48","28.5","60","48","-12","{""source"":""WW"",""minimum_ms"":60,""inherent_ms"":80,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","expand_diphthongs; expand_diphthongs; non_word_initial_consonant_shortening; word_medial_consonant_shortening; unstressed_consonant_shortening; cluster_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_9","N","","nasal","70","42","58.333333333333336","60","66","6","{""source"":""NN"",""minimum_ms"":50,""inherent_ms"":60,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; non_word_initial_consonant_shortening; cluster_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_10","F","","fricative","90","54","72","92","91","-1","{""source"":""FF"",""minimum_ms"":80,""inherent_ms"":100,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; word_initial_lengthening; cluster_shortening; pre_boundary_lengthening; duration_cap; fricative_minimum_duration; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_11","AA","1","vowel","180","75.6","75","184","186","2","{""source"":""AA"",""minimum_ms"":100,""inherent_ms"":240,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; stress_duration; accent_vowel_lengthening; vowel_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_12:remap_stops_to_closures:0","K_CL","","stop_closure","60","36","45","47","52","5","{""source"":""KK"",""minimum_ms"":60,""inherent_ms"":80,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","remap_stops_to_closures; remap_stops_to_closures; non_word_initial_consonant_shortening; word_medial_consonant_shortening; cluster_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_12:remap_stops_to_closures:0:insert_mapped_voiceless_release_and_aspiration:0","K_REL","","stop_release","14.759036144578314","0","0","15","15","0","{""source"":""uncompressed"",""minimum_ms"":0,""inherent_ms"":1,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis"",""Engineering policy: silence and generated release/aspiration use explicit timing and timeline safety floors""]}","insert_mapped_voiceless_release_and_aspiration; insert_mapped_voiceless_release_and_aspiration; cluster_shortening; duration_cap; lock_stop_release_duration; duration_floor_stop_release"
"The quick brown fox jumps over the lazy dog.","segment_12:remap_stops_to_closures:0:insert_mapped_voiceless_release_and_aspiration:1","K_ASP","","stop_aspiration","34.24096385542168","0","0","34","34","0","{""source"":""uncompressed"",""minimum_ms"":0,""inherent_ms"":1,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis"",""Engineering policy: silence and generated release/aspiration use explicit timing and timeline safety floors""]}","insert_mapped_voiceless_release_and_aspiration; insert_mapped_voiceless_release_and_aspiration; cluster_shortening; duration_cap; lock_stop_release_duration; duration_floor_stop_release"
"The quick brown fox jumps over the lazy dog.","segment_12:remap_stops_to_closures:0:insert_mapped_voiceless_release_and_aspiration:2","S","","fricative","100","60","57.142857142857146","82","80","-2","{""source"":""SS"",""minimum_ms"":60,""inherent_ms"":105,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","insert_mapped_voiceless_release_and_aspiration; non_word_initial_consonant_shortening; cluster_shortening; duration_cap; fricative_minimum_duration; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_14:expand_affricates_with_closure:0","JH_CL","","stop_closure","14","8.4","10","20","20","0","{""source"":""JJ"",""minimum_ms"":50,""inherent_ms"":70,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","expand_affricates_with_closure; expand_affricates_with_closure; word_initial_lengthening; cluster_shortening; duration_cap; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_14:expand_affricates_with_closure:1","JH","","affricate","51","30.599999999999998","26.428571428571427","33","32","-1","{""source"":""JJ"",""minimum_ms"":50,""inherent_ms"":70,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","expand_affricates_with_closure; expand_affricates_with_closure; non_word_initial_consonant_shortening; word_medial_consonant_shortening; cluster_shortening; duration_cap; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_15","AH","1","vowel","100","42","42.857142857142854","115","115","0","{""source"":""AH"",""minimum_ms"":60,""inherent_ms"":140,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; stress_duration; accent_vowel_lengthening; vowel_shortening; duration_cap; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_16","M","","nasal","80","48","68.57142857142857","65","75","10","{""source"":""MM"",""minimum_ms"":60,""inherent_ms"":70,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; non_word_initial_consonant_shortening; word_medial_consonant_shortening; cluster_shortening; duration_cap; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_17:remap_stops_to_closures:0","P_CL","","stop_closure","50","30","27.77777777777778","39","38","-1","{""source"":""PP"",""minimum_ms"":50,""inherent_ms"":90,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","remap_stops_to_closures; remap_stops_to_closures; non_word_initial_consonant_shortening; word_medial_consonant_shortening; cluster_shortening; duration_cap; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_17:remap_stops_to_closures:0:insert_mapped_voiceless_release_and_aspiration:0","P_REL","","stop_release","2.931034482758621","0","0","5","5","0","{""source"":""uncompressed"",""minimum_ms"":0,""inherent_ms"":1,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis"",""Engineering policy: silence and generated release/aspiration use explicit timing and timeline safety floors""]}","insert_mapped_voiceless_release_and_aspiration; insert_mapped_voiceless_release_and_aspiration; cluster_shortening; duration_cap; lock_stop_release_duration; duration_floor_stop_release"
"The quick brown fox jumps over the lazy dog.","segment_17:remap_stops_to_closures:0:insert_mapped_voiceless_release_and_aspiration:1","P_ASP","","stop_aspiration","31.06896551724138","0","0","31","31","0","{""source"":""uncompressed"",""minimum_ms"":0,""inherent_ms"":1,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis"",""Engineering policy: silence and generated release/aspiration use explicit timing and timeline safety floors""]}","insert_mapped_voiceless_release_and_aspiration; insert_mapped_voiceless_release_and_aspiration; cluster_shortening; duration_cap; lock_stop_release_duration; duration_floor_stop_release"
"The quick brown fox jumps over the lazy dog.","segment_17:remap_stops_to_closures:0:insert_mapped_voiceless_release_and_aspiration:2","S","","fricative","100","60","57.142857142857146","82","80","-2","{""source"":""SS"",""minimum_ms"":60,""inherent_ms"":105,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","insert_mapped_voiceless_release_and_aspiration; non_word_initial_consonant_shortening; cluster_shortening; duration_cap; fricative_minimum_duration; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_19:expand_diphthongs:0","AO1","1","vowel","160","67.2","42.5","102","103","1","{""source"":""AO"",""minimum_ms"":100,""inherent_ms"":240,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","expand_diphthongs; expand_diphthongs; stress_duration; polysyllabic_shortening; vowel_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_19:expand_diphthongs:1","W","0","glide","80","48","25.5","57","44","-13","{""source"":""WW"",""minimum_ms"":60,""inherent_ms"":80,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","expand_diphthongs; expand_diphthongs; non_word_initial_consonant_shortening; word_medial_consonant_shortening; unstressed_consonant_shortening; cluster_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_20","V","","fricative","80","48","53.333333333333336","65","67","2","{""source"":""VV"",""minimum_ms"":40,""inherent_ms"":60,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; non_word_initial_consonant_shortening; word_medial_consonant_shortening; cluster_shortening; pre_boundary_lengthening; duration_cap; fricative_minimum_duration; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_21:expand_rhotic_vowels:0","ER","0","vowel","42","17.64","9.333333333333334","130","130","0","{""source"":""ER"",""minimum_ms"":80,""inherent_ms"":180,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","expand_rhotic_vowels; expand_rhotic_vowels; stress_duration; polysyllabic_shortening; vowel_shortening; pre_boundary_lengthening; duration_cap; hertz_nucleus_timing; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_21:expand_rhotic_vowels:1","R","0","liquid","28","30","30","30","30","0","{""source"":""RR"",""minimum_ms"":30,""inherent_ms"":80,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","expand_rhotic_vowels; expand_rhotic_vowels; non_word_initial_consonant_shortening; unstressed_consonant_shortening; cluster_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_22","DH","","fricative","70","42","42","72","72","0","{""source"":""DH"",""minimum_ms"":30,""inherent_ms"":50,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; word_initial_lengthening; cluster_shortening; pre_boundary_lengthening; duration_cap; fricative_minimum_duration; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_23","AH","0","vowel","50","21","10.714285714285714","44","42","-2","{""source"":""AH"",""minimum_ms"":60,""inherent_ms"":140,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; stress_duration; vowel_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_24","L","","liquid","80","48","40","81","82","1","{""source"":""LL"",""minimum_ms"":40,""inherent_ms"":80,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; word_initial_lengthening; cluster_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_25:expand_diphthongs:0","EH1","1","vowel","120","50.4","44.8","104","104","0","{""source"":""EH"",""minimum_ms"":70,""inherent_ms"":150,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","expand_diphthongs; expand_diphthongs; stress_duration; accent_vowel_lengthening; polysyllabic_shortening; vowel_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_25:expand_diphthongs:1","Y","0","glide","80","48","16","54","36","-18","{""source"":""YY"",""minimum_ms"":40,""inherent_ms"":80,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","expand_diphthongs; expand_diphthongs; non_word_initial_consonant_shortening; word_medial_consonant_shortening; unstressed_consonant_shortening; cluster_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_26","Z","","fricative","90","54","48","72","70","-2","{""source"":""ZZ"",""minimum_ms"":40,""inherent_ms"":75,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; non_word_initial_consonant_shortening; word_medial_consonant_shortening; cluster_shortening; pre_boundary_lengthening; duration_cap; fricative_minimum_duration; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_27","IY","0","vowel","70","29.4","12.419354838709678","61","58","-3","{""source"":""IY"",""minimum_ms"":55,""inherent_ms"":155,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; stress_duration; accent_vowel_lengthening; polysyllabic_shortening; vowel_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_28:remap_stops_to_closures:0","D_CL","","stop_closure","50","30","33.333333333333336","53","52","-1","{""source"":""DD"",""minimum_ms"":50,""inherent_ms"":75,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","remap_stops_to_closures; remap_stops_to_closures; word_initial_lengthening; cluster_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_28:remap_stops_to_closures:0:insert_mapped_voiced_release:0","D_REL","","stop_release","10","0","0","10","10","0","{""source"":""uncompressed"",""minimum_ms"":0,""inherent_ms"":1,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis"",""Engineering policy: silence and generated release/aspiration use explicit timing and timeline safety floors""]}","insert_mapped_voiced_release; insert_mapped_voiced_release; cluster_shortening; duration_cap; lock_stop_release_duration; duration_floor_stop_release"
"The quick brown fox jumps over the lazy dog.","segment_28:remap_stops_to_closures:0:insert_mapped_voiced_release:1","AO","1","vowel","160","67.2","66.66666666666667","280","280","0","{""source"":""AO"",""minimum_ms"":100,""inherent_ms"":240,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","insert_mapped_voiced_release; stress_duration; accent_vowel_lengthening; polysyllabic_shortening; vowel_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_30:remap_stops_to_closures:0","G_CL","","stop_closure","55","33","41.25","45","49","4","{""source"":""GG"",""minimum_ms"":60,""inherent_ms"":80,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","remap_stops_to_closures; remap_stops_to_closures; non_word_initial_consonant_shortening; word_medial_consonant_shortening; cluster_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"The quick brown fox jumps over the lazy dog.","segment_30:remap_stops_to_closures:0:insert_mapped_voiced_release:0","G_REL","","stop_release","15","0","0","15","15","0","{""source"":""uncompressed"",""minimum_ms"":0,""inherent_ms"":1,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis"",""Engineering policy: silence and generated release/aspiration use explicit timing and timeline safety floors""]}","insert_mapped_voiced_release; insert_mapped_voiced_release; cluster_shortening; duration_cap; lock_stop_release_duration; duration_floor_stop_release"
"The quick brown fox jumps over the lazy dog.","segment_30:remap_stops_to_closures:0:insert_mapped_voiced_release:1","SIL","","silence","100","60","0","300","300","0","{""source"":""uncompressed"",""minimum_ms"":0,""inherent_ms"":1,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis"",""Engineering policy: silence and generated release/aspiration use explicit timing and timeline safety floors""]}","insert_mapped_voiced_release; punctuation_pause; duration_floor_default"
"She sells seashells by the seashore.","segment_0","SH","","fricative","100","60","76.19047619047619","102","102","0","{""source"":""SH"",""minimum_ms"":80,""inherent_ms"":105,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; word_initial_lengthening; cluster_shortening; duration_cap; fricative_minimum_duration; duration_floor_default"
"She sells seashells by the seashore.","segment_1","IY","1","vowel","150","63","53.225806451612904","176","179","3","{""source"":""IY"",""minimum_ms"":55,""inherent_ms"":155,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; stress_duration; vowel_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"She sells seashells by the seashore.","segment_2","S","","fricative","100","60","57.142857142857146","102","103","1","{""source"":""SS"",""minimum_ms"":60,""inherent_ms"":105,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; word_initial_lengthening; cluster_shortening; duration_cap; fricative_minimum_duration; duration_floor_default"
"She sells seashells by the seashore.","segment_3","EH","1","vowel","120","50.4","56","155","151","-4","{""source"":""EH"",""minimum_ms"":70,""inherent_ms"":150,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; stress_duration; accent_vowel_lengthening; vowel_shortening; duration_cap; duration_floor_default"
"She sells seashells by the seashore.","segment_4","L","","liquid","80","48","40","65","61","-4","{""source"":""LL"",""minimum_ms"":40,""inherent_ms"":80,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; non_word_initial_consonant_shortening; word_medial_consonant_shortening; cluster_shortening; duration_cap; duration_floor_default"
"She sells seashells by the seashore.","segment_5","Z","","fricative","90","54","48","74","71","-3","{""source"":""ZZ"",""minimum_ms"":40,""inherent_ms"":75,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; non_word_initial_consonant_shortening; cluster_shortening; pre_boundary_lengthening; duration_cap; fricative_minimum_duration; duration_floor_default"
"She sells seashells by the seashore.","segment_6","S","","fricative","100","60","57.142857142857146","102","103","1","{""source"":""SS"",""minimum_ms"":60,""inherent_ms"":105,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; word_initial_lengthening; cluster_shortening; duration_cap; fricative_minimum_duration; duration_floor_default"
